GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0097310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0
GO:0097314	0	0	0	0	0	207	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034859	0	0	0	147	0	0	0	0	0	0	0	0	0	1	0	0	0	17	0	0	5	0	36	31	11	0	0
GO:0034856	0	0	0	0	0	0	0	0	0	0	0	0	103	0	22	0	0	0	0	0	0	0	0	0	0	0	0
GO:1905437	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1905435	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0
GO:1905433	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042777	1	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	239	0	0	48	0	0	155	0	0	7
GO:0031350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	2	0	13
GO:0000944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107
GO:0034078	0	2	0	0	22	0	0	0	0	0	0	0	0	8	4	0	15	41	0	0	14	0	0	48	0	0	0
GO:0099125	0	0	0	0	28	0	0	0	0	0	0	0	0	0	71	0	0	59	0	0	0	0	0	0	0	0	0
GO:0061005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
GO:0016344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0
GO:1900102	0	0	0	0	43	0	0	0	0	0	0	0	0	0	106	0	0	2	0	0	0	0	0	0	0	0	0
GO:0010233	0	0	0	0	0	0	0	0	0	6	0	0	0	3	78	0	0	70	0	0	4	0	0	0	0	0	0
GO:1902098	0	0	0	0	0	111	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	181	0	0	0	0	0
GO:0042540	0	0	0	0	0	151	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	0	0	0
GO:0034381	0	0	2	111	2	0	0	62	0	28	0	0	82	2	5	0	0	3	0	0	3	0	0	0	0	0	0
GO:0004858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0
GO:1903533	0	107	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
GO:1903532	0	0	0	0	0	0	0	0	0	0	0	0	0	31	193	0	0	152	0	0	35	0	0	0	0	0	0
GO:0004855	0	0	22	0	59	0	0	0	0	103	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0004854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	1	0	0	0	0	0	85	0	0
GO:0046468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120
GO:0003288	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	0	0	0	0	1
GO:0002887	0	0	2	0	0	0	0	0	0	0	0	0	0	0	50	26	0	29	0	0	0	1	0	0	0	0	0
GO:0033189	0	5	0	0	0	0	0	0	0	4	0	0	0	0	605	0	0	463	0	0	0	0	0	0	0	0	0
GO:0042229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	166	0	0	0
GO:1900920	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
GO:0051481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	116	0	0	0	0	0
GO:0015871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	7	2	0	0
GO:0010801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	65	34	0	0
GO:0008015	0	0	0	0	0	418	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0	0
GO:0008010	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
